,Name,Title,Typename,XYZ URL,Max Z
0,darkskiessourcelayer,"ESRI / OSM / LiDAR - Light Pollution / Dark Skies, 2016",,https://mapseries-tilesets.s3.amazonaws.com/light-pollution/{z}/{x}/{y}.png,12
1,R_darkskiessourcelayer,"ESRI / OSM / LiDAR - Light Pollution / Dark Skies, 2016",,https://mapseries-tilesets.s3.amazonaws.com/light-pollution/{z}/{x}/{y}.png,9
2,LIDAR_Sherwood_DTM,"ESRI / OSM / LiDAR  -  (LiDAR DTM 16cm, Sherwood Forest)",,https://mapseries-tilesets.s3.amazonaws.com/lidar/sherwood/dtm/{z}/{x}/{y}.png,19
3,LIDAR_Sherwood_DSM,"ESRI / OSM / LiDAR  -  (LiDAR DSM 16cm, Sherwood Forest)",,https://mapseries-tilesets.s3.amazonaws.com/lidar/sherwood/dsm/{z}/{x}/{y}.png,19
4,LIDAR_Wales_1m,Wales LiDAR DSM 1m (2022),,https://datamapwales.azureedge.net/imagery/lidar/dsm1m/{z}/{x}/{y}.png,15
5,LIDAR_Wales_2m,LIDAR_Wales_DSM_2m,,https://datamapwales.azureedge.net/imagery/lidar/dsm2m/{z}/{x}/{y}.png,17
6,LIDAR_Wales_DTM_1m, LIDAR_Wales_DTM_1m,,https://datamapwales.azureedge.net/imagery/lidar/dtm1m/{z}/{x}/{y}.png,17
7,LIDAR_PhaseIDSM_DTM_1m,"ESRI / OSM / LiDAR  -  (LiDAR DTM 1m, Scotland, Ph 1)",,https://mapseries-tilesets.s3.amazonaws.com/lidar/rgb/phase1/{z}/{x}/{y}.png,16
8,LIDAR_PhaseIIDSM_DTM_1m,"ESRI / OSM / LiDAR  -  (LiDAR DTM 1m, Scotland, Ph 2)",,https://mapseries-tilesets.s3.amazonaws.com/lidar/rgb/phase2/{z}/{x}/{y}.png,16
9,LIDAR_PhaseIIIDSM_DTM_1m,"ESRI / OSM / LiDAR  -  (LiDAR DTM 50cm, Scotland, Ph 3)",,https://mapseries-tilesets.s3.amazonaws.com/lidar/rgb/phase3/{z}/{x}/{y}.png,17
10,LIDAR_PhaseIVDSM_DTM_1m,"ESRI / OSM / LiDAR  -  (LiDAR DTM 50cm, Scotland, Ph 4)",,https://mapseries-tilesets.s3.amazonaws.com/lidar/rgb/phase4/{z}/{x}/{y}.png,17
11,LIDAR_PhaseVDSM_DTM_1m,"ESRI / OSM / LiDAR  -  (LiDAR DTM 50cm, Scotland, Ph 5)",,https://mapseries-tilesets.s3.amazonaws.com/lidar/rgb/phase5/{z}/{x}/{y}.png,17
12,LIDAR_PhaseVIDSM_DTM_1m,"ESRI / OSM / LiDAR  -  (LiDAR DTM 50cm, Scotland, Ph 6)",,https://mapseries-tilesets.s3.amazonaws.com/lidar/rgb/phase6/{z}/{x}/{y}.png,17
13,LIDAR_Hebrides_DTM_1m,"ESRI / OSM / LiDAR  -  (LiDAR DTM 50cm, Hebrides)",,https://mapseries-tilesets.s3.amazonaws.com/lidar/rgb/hebrides/{z}/{x}/{y}.png,17
14,LIDAR_Wales_DTM_1m_RVT,LIDAR_Wales_2m_RVT,,https://mapseries-tilesets.s3.amazonaws.com/lidar/wales/{z}/{x}/{y}.png,18
15,LIDAR_England_DTM_RVT,LIDAR_England_1m_RVT1,,https://mapseries-tilesets.s3.amazonaws.com/lidar/england/{z}/{x}/{y}.png,18
16,LIDAR_Wales__DTM_2m,LIDAR_Wales_DTM_2m,,https://datamapwales.azureedge.net/imagery/lidar/dtm2m/{z}/{x}/{y}.png,17
17,london_gsgs4157,"England, London - GSGS 2157 1:12,500, 1941",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/os/london-12500/{z}/{x}/{y}.png,16
18,county_chester_1794,"England, County Maps - Cheshire, 1794",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/county/chester_1794/{z}/{x}/{y}.png,13
19,county_cumberland_1823,"England, County Maps - Cumberland, 1823",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/county/cumberland_1823/{z}/{x}/{y}.png,14
20,county_durham_1819,"England, County Maps - Durham, 1823",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/county/durham_1823/{z}/{x}/{y}.png,14
